"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"1","",10355,410,23960,93,"https://t.co/zhkwQiZZBZ","Lucas  <ed><U+00A0><U+00BD><ed><U+00B1><U+00B8><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>",2014-09-30 00:37:09,FALSE,FALSE,"lucasg___","S<U+00E3>o Paulo, Brasil","pt","2793219419",4,FALSE,"http://pbs.twimg.com/profile_images/830942113990852608/nqrb9rKt_normal.jpg"
"2","Gram<U+00E1>tica. Aficionada a los dulces. 35 a<U+00F1>os.",259,663,1,404,NA,"Antonella Ojeda",2016-10-06 09:09:54,FALSE,FALSE,"antojedanella","Lomas de Zamora, Argentina.","es","783957442237456384",0,FALSE,"http://pbs.twimg.com/profile_images/795697176122789888/a4NPrDFq_normal.jpg"
"3","",35197,790,161892,139,NA,"Sveta",2015-05-14 16:00:16,FALSE,FALSE,"208b9c6a62494ba","Russia","ru","3254091219",31,FALSE,"http://pbs.twimg.com/profile_images/832472968546562048/Zu72Y2YT_normal.jpg"
"4","https://t.co/kCS0ZaClJa Subscribe for Free Prizes",3576,1190,128,4541,NA,"Cuppatea23 youtube",2016-01-05 15:19:08,FALSE,FALSE,"Cuppatea23Yt","North West, England","en","4715830097",62,FALSE,"http://pbs.twimg.com/profile_images/684394632181067776/JInQsiNR_normal.jpg"
"5","#617 Boston/New England sports fan forever Good music #Gamer Verax Semper. Instagram+Snapchat: BosCityFan #SBLIChamps #5time #BlitzForSix",85235,5127,102495,2869,NA,"(((AndrewIsAVP<U+2122><U+00A9><U+00AE>)))",2014-04-08 03:24:15,FALSE,FALSE,"BosCityFAN","Boston, Massachusetts","en","2468696985",58,FALSE,"http://pbs.twimg.com/profile_images/766453433671028737/anfsU9VW_normal.jpg"
"6","La vida te pondr<U+00E1> obst<U+00E1>culos pero los l<U+00ED>mites los pones t<U+00FA> <U+2661>  #CABALLEROS
Si las oportunidades no llegan a tu puerta, CONSTRUYE ESA PUERTA! #TeamJohann",102410,2336,122377,2049,NA,"Ingrid loves Aaron",2013-05-05 22:37:40,FALSE,FALSE,"LxshtxnNxrry","Los Angeles, CA","es","1406256775",35,FALSE,"http://pbs.twimg.com/profile_images/822996909182873600/ZSfvrAcy_normal.jpg"
"7","Little Monster<ed><U+00A0><U+00BC><ed><U+00BC><U+0088>  
snapchat: kriissaviiles<ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>
instagram: kriissaviiles <ed><U+00A0><U+00BD><ed><U+00B3><U+00B7>
Ing. Quimica<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>",6116,2677,2861,2885,"https://instagram.com/kriissaviiles/","Cristhian C. Avil<U+00E9>s",2011-02-27 20:24:18,FALSE,FALSE,"kriss_dca","ECUADOR <U+2665>","es","258476835",10,FALSE,"http://pbs.twimg.com/profile_images/832574607542595587/jmn0Ct-2_normal.jpg"
"8","Born March 6, 1996.",2110,128,3104,72,"https://t.co/a0zmVriG02","Luis Abundis",2014-02-03 01:11:37,FALSE,FALSE,"LuisAbundis5","Monterrey, NL.","es","2324582750",2,FALSE,"http://pbs.twimg.com/profile_images/787768656767754241/--z12VJ__normal.jpg"
"9","Ma r<U+00E8>gle de base c'est d'<U+00EA>tre unique et diff<U+00E9>rent. Car plus tu es diff<U+00E9>rent  plus tu deviens unique d'avoir autant de diff<U+00E9>rences",152675,4138,14052,4840,NA,"LouisGSylvestre",2011-01-16 23:02:53,FALSE,FALSE,"LouiSGSylvestre","le monde ","fr","239145704",269,FALSE,"http://pbs.twimg.com/profile_images/432007382164443139/7CgEx7LW_normal.jpeg"
"10","Hear my sinner's prayer
I am what I am!

Lady Gaga / Joanne <ed><U+00A0><U+00BD><ed><U+00B1><U+0092> / Adele",4546,1804,2114,2536,"https://t.co/0gcV485hvq","Mr. Ronalld",2012-01-24 15:11:30,FALSE,FALSE,"ronalldgoldberg","Bras<U+00ED>lia, Brasil","pt","473017675",8,FALSE,"http://pbs.twimg.com/profile_images/830225123038855169/smYRtkAM_normal.jpg"
"11","disco dancing with the lights down low",101619,1099,50210,1942,"https://t.co/90K4AQcC0x","Sean",2010-12-03 20:22:49,FALSE,FALSE,"_boooosh","Dundee","en","222572692",15,FALSE,"http://pbs.twimg.com/profile_images/823788214481723392/6tU3b_lT_normal.jpg"
"12","I crave a real wild man and I'm strung out on Harry Styles... as my John Wayne. 
#ChainedToTheRhythm",8852,411,205,252,NA,"Fran | JOHN WAYNE",2011-04-05 15:42:02,FALSE,FALSE,"ifuseekperrie","Always in my heart","es","277542398",5,FALSE,"http://pbs.twimg.com/profile_images/829850046023753732/uByo_tYR_normal.jpg"
"13","Javix para los amigos Contacto:Javixxman.p@gmail.com",8574,431,2012,390,NA,"ElJavis<ed><U+00A0><U+00BC><ed><U+00BE><U+00A9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2><ed><U+00A0><U+00BC><ed><U+00B7><U+00BD>",2012-01-25 00:11:09,FALSE,FALSE,"Javixman","San telmo, Corleone.","es","473444084",4,FALSE,"http://pbs.twimg.com/profile_images/832698117015285761/sIj3RLyl_normal.jpg"
"14","i got a hundred million reasons to be pessimistic in life",114564,1345,3811,537,NA,"scarlett <ed><U+00A0><U+00BE><ed><U+00B6><U+008B>",2009-11-15 09:27:08,FALSE,FALSE,"ladynashie","HSS x UST-AMV","en","90131837",23,FALSE,"http://pbs.twimg.com/profile_images/831843992509640705/eL1EpLpC_normal.jpg"
"15","Tim Mueller is Head Woollie in STEEL WOOL Band, chief songwriter, vocalist and guitar player. You can listen and watch at https://t.co/pTh88jwC1h #steelwoolband",7663,3626,556,3778,"http://t.co/cOspF4eBa4","STEEL WOOL",2012-01-30 16:28:54,FALSE,FALSE,"STEEL_WOOL_Band","Oregon","en","478744253",73,FALSE,"http://pbs.twimg.com/profile_images/823661602461257728/XatRxM4Q_normal.jpg"
"16","Hilary Jones is a photographer. Employs himself primarily doing headshot portraits of actors in Los Angeles. $285 for a two hour photo session. (310) 595-5756",184783,5673,173037,5615,"https://t.co/TNsrzK8tBK","Hilary Jones",2013-10-02 02:41:25,FALSE,FALSE,"fatilatuti","Los Angeles, California","en","1925368770",2126,FALSE,"http://pbs.twimg.com/profile_images/776639020331769856/HpLwNYjl_normal.jpg"
"17","I'm a Little Monster I am a cool guy and I like to meet new friends  and i love Lady Gaga FOLLOW ME & YOU STILL",13824,1076,7806,1121,"https://t.co/idehedhNE5","Abraham Galvez",2012-09-16 03:35:14,FALSE,FALSE,"0296Glvez","Tijuana, Baja California <U+26C5>","es","826412204",9,FALSE,"http://pbs.twimg.com/profile_images/797223595390992384/_OCKOFwy_normal.jpg"
"18","Pintora. Adicta a los programas reallity. Duermo, luego existo.",138,118,209,418,NA,"Susana Hernandez",2016-10-07 05:25:37,FALSE,FALSE,"yaroslavqlzvb","Azul","es","784263389665038336",0,FALSE,"http://pbs.twimg.com/profile_images/789866032022360064/1Gv0dxtm_normal.jpg"
"19","<U+2022>Cause you and I, we were born to die<U+2022>",54304,1738,3074,455,NA,"Rosana",2010-05-14 00:05:59,FALSE,FALSE,"_Rosanaa_","Bras<U+00ED>lia ","pt","143622775",1,FALSE,"http://pbs.twimg.com/profile_images/822993232950915076/qifJ08VB_normal.jpg"
"20","LADY GAGA mi diosa, love is love, Instagram: elchicogaga Snapchat: elchigay",20383,1087,10998,773,NA,"ArTpOp",2012-11-16 15:21:52,FALSE,FALSE,"AlexEsteban17","Madrid","es","951863976",18,FALSE,"http://pbs.twimg.com/profile_images/607882526145806336/BwWu07Wn_normal.jpg"
"21","Gaming",305,5,184,168,NA,"Lawrence Guy",2016-09-12 02:05:36,FALSE,FALSE,"FatStuff23","Antelope, CA","en","775153355379265536",0,FALSE,"http://pbs.twimg.com/profile_images/778765703021158400/vGAC_ZMY_normal.jpg"
"22","Corrector. Me divierten los Diarios. Gracias Marcelo",178,471,1,406,NA,"Luis Torres",2016-10-06 18:25:13,FALSE,FALSE,"viktork8r","Banfield, Argentina.","es","784097194542411776",0,FALSE,"http://pbs.twimg.com/profile_images/795656899723165701/VpLRyvPX_normal.jpg"
"23","FOLLOW ME @justinbieber @mileycyrus @ladygaga <U+2661>",5027,5018,13022,3236,"https://t.co/QTyb13XMau","FOLLOW ME JUSTIN <U+00A4>",2015-07-07 01:38:29,FALSE,FALSE,"nossafrancisco","Brasil","pt","3363484126",3,FALSE,"http://pbs.twimg.com/profile_images/832415633484738560/qNtm4ycH_normal.jpg"
"24","Muito Ryca muito Plena! So volto a atender de novo aqueles que me agradam na primeira vez,os que se preocupam com o meu prazer, o meu orgasmo, e seja carinhoso!",78120,1668,15501,1364,NA,"<U+2728>Cortes<U+00E3> do Vale<U+2728>",2009-08-24 12:30:05,FALSE,FALSE,"VinyGimenez","BRASILIA ","pt","68395781",27,FALSE,"http://pbs.twimg.com/profile_images/830801378775879680/YlPKwnkq_normal.jpg"
"25","just tryna b greaaaaat ...... | 18 <U+264F>",21562,899,2519,454,NA,"kaykay",2015-01-18 20:15:32,FALSE,FALSE,"_kasandraa","SA ","en","2988974030",4,FALSE,"http://pbs.twimg.com/profile_images/832645931803684864/X8nsklfz_normal.jpg"
"26","I just watch a lot of tv shows.   
French girl living in Spain.",18689,674,1559,546,NA,"Vani",2011-01-27 19:49:01,FALSE,FALSE,"vanijbd","M<U+00E1>laga/Paris","fr","243773840",23,FALSE,"http://pbs.twimg.com/profile_images/717772583358349312/clHaDCey_normal.jpg"
"27","S<U+00E9> quienes me sobran y a quienes necesito! #LittleMonster<U+2764> Instagram: victorj_1989 Snapchat: victorj1989",4325,119,1120,535,NA,"V<U+00ED>ctor J. Vivas D.",2010-09-23 21:15:35,FALSE,FALSE,"Victorj_1989","MARACAY - VENEZUELA","es","194320251",3,FALSE,"http://pbs.twimg.com/profile_images/828425642194644998/lt0ArDoq_normal.jpg"
"28","#NoDoubter",14319,783,722,1006,NA,"Melisse Sierra",2010-08-31 00:09:22,FALSE,FALSE,"MelisseSaw","Venezuela","es","184993261",7,FALSE,"http://pbs.twimg.com/profile_images/809584592470609920/QNkQ_5Vi_normal.jpg"
"29","All up in this interwebs in comfortable footwear. present: MTV/VH1 Digital Production & Development. past: Sports Journalism. always: sneaker enthusiast.",490618,1127,0,0,NA,"Myong _Wisley",2011-11-17 00:30:54,FALSE,FALSE,"Myong_Wisley","Burbank, California","en","414391600",648,FALSE,"http://pbs.twimg.com/profile_images/1839601946/179841668561_normal.jpg"
"30","<U+264B>",9292,2219,39308,2495,NA,"Char Kat",2012-03-25 22:37:50,FALSE,FALSE,"XarisKat","<U+039A><U+03B1><U+03C4><U+03B5><U+03C1><U+03AF><U+03BD><U+03B7>, <U+039A><U+03B5><U+03BD><U+03C4><U+03C1><U+03B9><U+03BA><U+03AE> <U+039C><U+03B1><U+03BA><U+03B5><U+03B4><U+03BF><U+03BD><U+03AF><U+03B1>","en","536790222",9,FALSE,"http://pbs.twimg.com/profile_images/823599998801772545/8jV5rOfK_normal.jpg"
"31","Informaci<U+00F3>n y an<U+00E1>lisis que rompen los viejos esquemas de la pol<U+00ED>tica. Encu<U+00E9>ntranos en Facebook: https://t.co/yl08ANQGt3",856488,284571,10753,23715,"http://t.co/HyGXhJbQfU","La Silla Rota",2010-06-05 18:46:31,FALSE,FALSE,"lasillarota","M<U+00E9>xico, Distrito Federal","es","152358615",3428,FALSE,"http://pbs.twimg.com/profile_images/695376771659624448/_zb3PeUO_normal.jpg"
"32","De izquierda, carism<U+00E1>tico, sencillo, me gustan las buenas conversaciones de temas de inter<U+00E9>s bajo una buena taza de caf<U+00E9>...",41536,124,242,154,"https://t.co/hRs0KDBuIe","Samid Arrap",2011-12-29 04:24:04,FALSE,FALSE,"SamidArrap","El Tigre, Azoategui, Venezuela","es","449462614",45,FALSE,"http://pbs.twimg.com/profile_images/754296730766671872/8XdYQVdG_normal.jpg"
